Scenario,Age0,Arm,Index,M,L,U
Vac_70,70,Vac,AvtHZ,0.48580456832455626,0.36347069457976794,0.720729947467059
Vac_70,70,Vac,AvtDeath,0.44215752558109744,0.22718223924990316,0.8892607829834295
Vac_70,70,Vac,dQ_HZ_d,0.006507984260763438,0.005098130534263769,0.00964831281092772
Vac_70,70,Vac,dQ_Life_d,1.210010212613355e-4,7.826808086655034e-5,2.2283301166612366e-4
Vac_70,70,Vac,dQ_All_d,0.006627072981449267,0.005194802423800571,0.00986198649252685
Vac_70,70,Vac,dC_Vac_d,170,170,170
Vac_70,70,Vac,dC_VacRZV_d,170,170,170
Vac_70,70,Vac,dC_Med_d,-11.59173008111392,-18.96141264014414,-8.6216825868479
Vac_70,70,Vac,dC_All_d,184.41704707224062,177.52671566589387,188.11668297557435
Vac_70,70,Vac,dN_VacRZV_d,2,2,2
Vac_70,70,Vac,Thres20,72.10217413947083,56.577804445885235,108.08326193152953
Vac_70,70,Vac,Thres30,105.23753904671717,82.5788138518736,157.3931943941638
Vac_70,70,Vac,ICER,27842.571372329687,17959.495666150746,36218.42946298879
Vac_70,70,Vac1,N0,1,1,1
Vac_70,70,Vac1,AvtHZ,0.37605023301919294,0.28244720231037734,0.598719255788541
Vac_70,70,Vac1,AvtDeath,0.3207837852119711,0.15901357546257217,0.7799687343101458
Vac_70,70,Vac1,dQ_HZ_d,0.005146831018772706,0.003908573955730974,0.008037133184123019
Vac_70,70,Vac1,dQ_Life_d,8.975161496049822e-5,5.6628174826700575e-5,1.8092550806669822e-4
Vac_70,70,Vac1,dQ_All_d,0.005237569279104015,0.003977225496268444,0.008215568971432096
Vac_70,70,Vac1,dC_Vac_d,85,85,85
Vac_70,70,Vac1,dC_VacRZV_d,85,85,85
Vac_70,70,Vac1,dC_Med_d,-8.892014141963932,-15.741871326679991,-6.634303750270101
Vac_70,70,Vac1,dC_All_d,102.03498289278689,95.66652699905988,105.33339457156465
Vac_70,70,Vac1,dN_VacRZV_d,1,1,1
Vac_70,70,Vac1,Thres20,113.6107208456042,86.62819705727665,180.00336266981557
Vac_70,70,Vac1,Thres30,166.09349451521075,126.4004520199611,262.15905238413654
Vac_70,70,Vac1,ICER,19566.637987461036,11596.277303225846,26103.48314598001
Vac_71,71,Vac,N0,1,1,1
Vac_71,71,Vac,AvtHZ,0.5014194064017113,0.38098438773658727,0.7276708185919631
Vac_71,71,Vac,AvtDeath,0.47368048999645174,0.2565646625038806,0.891542577395287
Vac_71,71,Vac,dQ_HZ_d,0.006595132557489292,0.005203077564321378,0.009564336778145888
Vac_71,71,Vac,dQ_Life_d,1.3210540500097068e-4,8.712207690830809e-5,2.2931848440306267e-4
Vac_71,71,Vac,dQ_All_d,0.0067236343678374055,0.005302576753838472,0.009782791552965086
Vac_71,71,Vac,dC_Vac_d,170,170,170
Vac_71,71,Vac,dC_VacRZV_d,170,170,170
Vac_71,71,Vac,dC_Med_d,-12.086843250774969,-19.09133770378999,-9.090033674004328
Vac_71,71,Vac,dC_All_d,184.09775881949162,177.41071057608292,187.78222968502308
Vac_71,71,Vac,dN_VacRZV_d,2,2,2
Vac_71,71,Vac,Thres20,73.33149957678148,58.07075987905877,106.97295858209867
Vac_71,71,Vac,Thres30,106.94967141596851,84.67416618217518,155.88691634692412
Vac_71,71,Vac,ICER,27389.525361232976,18132.00244022087,35327.05734513991
Vac_71,71,Vac1,N0,1,1,1
Vac_71,71,Vac1,AvtHZ,0.38853957567023756,0.29661493560239804,0.6064249037754343
Vac_71,71,Vac1,AvtDeath,0.3461293013438377,0.18156285719462334,0.783475398835108
Vac_71,71,Vac1,dQ_HZ_d,0.005205803113853068,0.003986260290733044,0.007954587130476733
Vac_71,71,Vac1,dQ_Life_d,9.825024547271966e-5,6.334404225505352e-5,1.863295963605793e-4
Vac_71,71,Vac1,dQ_All_d,0.005295426443014506,0.004062703555255176,0.008133434050748088
Vac_71,71,Vac1,dC_Vac_d,85,85,85
Vac_71,71,Vac1,dC_VacRZV_d,85,85,85
Vac_71,71,Vac1,dC_Med_d,-9.28175717950831,-15.872116701357246,-7.099046581738687
Vac_71,71,Vac1,dC_All_d,101.82712435966195,95.52812473393408,105.15053566400982
Vac_71,71,Vac1,dN_VacRZV_d,1,1,1
Vac_71,71,Vac1,Thres20,115.30248326609487,88.74921182630375,177.7663157221703
Vac_71,71,Vac1,Thres30,168.50921925954935,129.3813651229307,259.06782750908917
Vac_71,71,Vac1,ICER,19295.36675046999,11752.372281034413,25774.258908776043
Vac_72,72,Vac,N0,1,1,1
Vac_72,72,Vac,AvtHZ,0.5152551969765939,0.39746612589570496,0.7342686358573274
Vac_72,72,Vac,AvtDeath,0.5046325387428552,0.28838567072710647,0.8935741695590564
Vac_72,72,Vac,dQ_HZ_d,0.006653804615605996,0.005298299255561049,0.009440732468677663
Vac_72,72,Vac,dQ_Life_d,1.4300293228508565e-4,9.670452022980669e-5,2.3564670465958668e-4
